order_id,product_id,quantity,customer_id,order_date,transaction_status,transaction_method
004023f8-89c0-462d-8d0b-ebdaae4ac544,5PD3DD3YD39,51,01HQP4D5CB7TKHQ6DT4YQW4VC9,2023-11-08,pending,PayPal
004c93e0-dfc1-4190-bba7-2a018079b354,6VT4TC0AD68,19,01HQP4D6KCVMTK079T42ARQEW4,2023-12-07,completed,Google Pay
02f693bf-e952-412a-a687-24c5bc8876be,5CQ1KE2YU33,19,01HQP4D4W5NBZTKMEYGET2JK6K,2023-10-05,pending,credit card
03718afe-c1bb-4b2b-a4cc-837087a6bf6d,3HA9HX7DX66,66,01HQP4D5BSWFHK45MM2PYVQXVE,2024-01-05,cancelled,debit card
037b0c7e-2ef2-430f-adf7-45da6ca0293f,9EU9K95PG07,54,01HQP4D4W74P7GXCD6DM43GNNF,2023-08-09,failed,credit card
03f2c521-f477-4212-9075-842321cd4269,6FR0E75YE74,59,01HQP4D5CB7TKHQ6DT4YQW4VC9,2023-06-30,completed,Venmo
044d5dba-3967-4dd5-8f7f-0fb67f5518a2,1MG5J33DQ09,56,01HQP4D4WMR9H5BCVJ0GJ3H1DG,2023-03-10,cancelled,debit card
04fb44c4-9197-4e8a-a72a-0161da4e0b49,4KF2XX1GT05,67,01HQP4D6QCVYC8C5YEGSZD8WF1,2023-06-23,failed,Google Pay
05ce6c75-4a20-45d9-9497-83392c0b5458,1D54NM0XV43,44,01HQP4D4M4BS462897896GE1TX,2023-03-28,cancelled,Apple Pay
06397d42-8f44-47ae-9414-c1ec827def1f,7XR1KY0NP64,40,01HQP4D4VZM5840N01SRATT8Q1,2023-06-11,completed,credit card
069bbc33-7cb7-429e-a37e-a0ad1b58920f,8H99HV5HU19,97,01HQP4D6Q48A6JB99DVVEYGWBQ,2023-02-28,cancelled,Apple Pay
0716171c-fe6f-4045-8eaa-593eada725d7,1QV1FJ6KQ49,27,01HQP4D6K8C8QB3BF9EG5T834W,2023-09-25,cancelled,credit card
08e5c28d-9d95-4107-b622-83fc82f36c50,2H07HR3AN89,40,01HQP4D6KCVMTK079T42ARQEW4,2023-05-13,completed,Google Pay
092f1da5-82df-4b3b-803a-ef9417f13453,9YT2TY0MJ74,76,01HQP4D6KWAFXXZ9KW80KADWNW,2023-07-07,pending,Venmo
0c4bef1e-11f0-44cb-93bb-6d236438dc9c,3UQ6JC1FJ55,80,01HQP4D4WV9F9WEP9ZWPVMTHN6,2023-06-15,in progress,credit card
0c683674-dd4b-4f93-b20a-1e420639a96c,9WW1VF3FE02,74,01HQP4D5BMCSVFR2B8B199C496,2023-04-07,completed,Apple Pay
0c8c167f-5956-4a77-a7f9-0406c5218f48,9Y46P59HU11,89,01HQP4D5CAAB7844AM7220VCRT,2024-02-15,pending,Apple Pay
0cb125b7-839c-4a34-ba8b-84043cf200ce,5Y48F97CT45,2,01HQP4D5AHJHKG757VFA61P6QY,2024-01-16,in progress,Apple Pay
