supplier_id,supplier_name,supplier_phone,country,city,street,postcode
SUP-1350,Infinity Goods Supply,521-315-2153, China , Beijing,Mockingbird,
SUP-5189,EcoVend Wholesale,934-988-5416, United Kingdom , Edinburgh,Manufacturers,48326
SUP-0731,TechTrend Distributors,280-331-3317, United States , Chicago,Meadow Valley,6335
SUP-5990,Global Harvest Sources,902-852-3172, United Kingdom , Nottingham,Red Cloud,
SUP-9881,PureCraft Supplies,270-173-1967, United States , San Antonio,Vermont,32-541
SUP-2306,UrbanEdge Merchants,461-899-2709, Spain , Barcelona,Michigan,
SUP-2177,SurePath Trading Co.,601-244-2839, Germany , Frankfurt,Old Shore,500 02
SUP-5540,EcoEssentials Market,350-614-9532, United Kingdom , Liverpool,Mcbride,
SUP-7592,BrightBridge Imports,332-801-3035, Northern Ireland , Bangor,Dottie,7521
SUP-4366,Skyline Textiles,743-254-7256, United Kingdom , Birmingham,Park Meadow,
SUP-5688,PixelPulse Electronics,155-344-7164, China , Chongqing,Kinsman,24-220
SUP-1146,NatureNest Organics,617-184-4098, United States , San Diego,1st,
SUP-0230,UrbanArtisan Supplies,917-973-9997, Italy , Bologna,Dottie,96330-000
SUP-3534,Streamline Auto Parts,545-396-2949, United States , San Diego,Loomis,
SUP-1418,MysticMeadow Handicrafts,819-786-6997, France , Paris,Grim,
SUP-9951,FutureFit Athletic Gear,359-519-1685, China , Shanghai,Hoard,
SUP-2926,OceanBreeze Seafoods,159-558-0005, United States , San Antonio,Upham,
SUP-9436,PurelyPaper Office Supplies,645-511-5979, United Kingdom , Cardiff,Columbus,
SUP-8748,SolarFlare Renewable Energy,778-984-6977, Italy , Bari,Service,
SUP-3257,CrystalClear Water Solutions,303-792-4457, Italy , Rome,Hintze,80241
SUP-0814,SpiceHarbor Gourmet,703-333-4389, United Kingdom , Reading,Moulton,
SUP-0486,WonderWeave Fabrics,717-487-8662, United Kingdom , Belfast,Sheridan,
SUP-0734,RetroRevive Antiques,866-445-3053, United States , San Antonio,Coolidge,696 65
SUP-1508,ByteBound IT Solutions,935-670-7817, United States , Houston,Westport,43506
SUP-0800,ZenGarden Landscaping Supplies,707-648-8508, United Kingdom , Edinburgh,David,
SUP-4951,AeroDynamics Aviation Parts,326-480-0498, United States , Los Angeles,Menomonie,509 01
SUP-5567,FarmFresh AgriProducts,571-926-8086, Netherlands , Breda,Walton,
SUP-4272,TerraFirma Building Materials,814-198-0392, United States , Philadelphia,Lighthouse Bay,
SUP-9284,CosmicKids Toys & Games,830-968-6834, China , Shanghai,Kinsman,155150
SUP-8387,LiquidGold Oil & Lubricants,853-638-0808, Spain , Barcelona,Vidon,
SUP-8237,HighTower Furniture,863-398-2275, China , Shanghai,Gerald,
SUP-1901,SparkleClean Janitorial Supplies,309-369-3083, United States , Phoenix,Cottonwood,
SUP-8040,NextWave Plastics,595-972-3428, France , Strasbourg,Schiller,763-0231
SUP-1693,GrandGourmet Catering Supplies,343-810-1068, Germany , Cologne,Beilfuss,76000
SUP-3954,SilkRoad Textiles,548-716-3327, Spain , Madrid,Holy Cross,9241
SUP-8344,PixelPerfect Photography Gear,336-382-1659, Japan , Kobe,David,27150
SUP-9865,NextGen Commerce Solutions,233-938-1833, United Kingdom , Birmingham,Hagan,
SUP-3773,BrightFuture Outfitters,746-934-5151, United States , San Antonio,Meadow Valley,
SUP-0910,Artisan Alley Distributors,516-443-1414, United States , Los Angeles,Blaine,
SUP-6460,BlueWave Logistics,757-567-6230, United Kingdom , Leeds,Rigney,
SUP-7754,GreenLeaf Suppliers,502-541-0498, United States , Dallas,Hallows,1556
SUP-4487,SummitRange Outdoor Supplies,401-456-3154, United Kingdom , Southampton,Cascade,2504
SUP-9734,CraftSphere Creations,462-290-7838, United States , Houston,Sheridan,
SUP-9360,DigitalHorizon Electronics,334-546-1079, United Kingdom , London,Scott,740
SUP-7699,VintageVibe Collectibles,385-596-5987, United States , Chicago,182520,
SUP-8346,HealthHarvest Wellness Supplies,373-685-5568, China , Chengdu,3rd,1293
SUP-1554,UrbanGlow Beauty Supplies,809-908-5585, United States , Los Angeles,Sommers,47-240
SUP-8949,AdventureGear Outfitters,768-760-1543, United Kingdom , Sheffield,American,6150-405
SUP-2437,FreshFinds Grocery Suppliers,185-439-8584, United States , Philadelphia,Union,87-201
SUP-9871,SmartHome Tech Distributors,666-547-4855, United Kingdom , Liverpool,Elgar,
