transaction_id,transaction_date,transaction_status,transaction_method,order_id
5bbaf08b-94f5-4b71-b038-cdf6694677bf,9/4/2023,failed,debit card,d48072d4-9578-4e4d-9e53-da30456e6047
5361310e-d39f-498f-b940-e8b4d00e2f81,1/27/2024,completed,Apple Pay,14509b97-6017-4b37-baee-d302098569a7
bcc814c3-bdaf-40a3-888d-ccab382f50e0,11/15/2023,in progress,Venmo,f1c4c756-8bf3-4fdd-b16d-0b07eac7d171
2d6222be-1204-4544-b924-d717aff56312,2/14/2024,failed,credit card,ff60b96d-31ae-4299-86f4-0bfd9b582c9b
c16be419-8eb0-487d-880f-0001046170b8,12/25/2023,failed,credit card,7b93be0b-618b-47da-9085-e95e5ed066ec
36028934-8377-429d-b4f5-64491853b3ba,5/23/2023,cancelled,PayPal,00f15828-2fea-4fb3-813e-584f8955ceac
5c474403-8c28-4358-93be-57e47779a657,4/12/2023,completed,debit card,44a57c07-45b4-442f-a0ae-b4733e6062dd
f9fd5c43-c61c-4bf4-a960-c4b48b332065,11/27/2023,in progress,Venmo,89954c33-6a0a-4148-b360-3b3a0dc05820
672fd5bd-726a-48e9-b448-7bf972380313,12/30/2023,failed,debit card,a22c61c5-c4a4-4331-aa56-162dd8a6cffb
06c6426b-d0e5-446d-9ab0-f89d57cbe5f1,1/15/2024,in progress,debit card,693787e6-b83c-4efd-8b6c-baba4b07c4e1
909e9524-97a8-4fca-ba25-c202686a639a,4/29/2023,in progress,debit card,f986b3c3-25c7-40e3-8375-e1d241dd67f4
0394067e-009f-40e5-8d50-dcd5d2dbd60e,7/24/2023,pending,Venmo,14147ca5-2407-482f-b63e-be6e4ab5a565
f1900c16-b689-4412-b4d1-11b17f352c6d,1/10/2024,in progress,PayPal,068a6d3a-4e54-49fb-94f1-6bf2d0b46e69
8c18b2c4-bfd9-449a-a5af-6fb72ff5e1ba,3/14/2023,cancelled,Venmo,372c6a7f-7893-4039-ae46-65a22bb147be
4176f815-f9c7-40e4-8f66-1d885106173c,4/30/2023,pending,Venmo,7c41caa5-18b3-470d-8f70-badf62e812c0
0f996da4-2412-402a-bd64-9cc0f7b7e1f5,2/10/2024,completed,Apple Pay,7e497a55-bd2f-484f-911b-cd9bb8efc4fd
81c1301c-8a15-44ca-971a-24a0bddc9781,8/4/2023,completed,credit card,dce1ab2a-a8ab-4d4e-8b9b-a1defed4c867
ea030caa-752b-4572-9a8d-995d138dd7ae,4/16/2023,cancelled,PayPal,43e72366-911f-49c1-8a2f-17ec9c049c83
96b25fe8-f6bd-4881-b7bf-f27f04fc8229,12/20/2023,cancelled,debit card,f1de081b-d615-421a-a867-0978422527e8
5b9d18b6-1873-4d21-8ae4-2b5382f0b5f6,8/9/2023,cancelled,debit card,ea77a4a9-f974-4fb6-821c-63d06e42d0a8
25e42e2c-bdfa-437c-a693-97b9987d5b57,12/28/2023,pending,PayPal,9ee8632a-a3e0-43ee-b3d0-a2c850ccd89d
8576782b-87fa-4e64-adcd-db4abf1840d8,10/3/2023,failed,Google Pay,0dbffc92-c5b3-4302-9cdd-9867306e087d
7dc0e69d-e14f-4622-9f3a-6132b8fb5b75,8/19/2023,completed,credit card,38111950-59e2-439d-ad3e-b20c0c2969ef
4a53ea12-9685-468b-bf63-9db8a9fe3d70,7/23/2023,completed,Google Pay,4a18f5df-3536-4059-bfab-0f7b567c873e
260d4f25-c95f-41d9-9c71-be5e28b3e87e,10/17/2023,completed,debit card,5795eb3c-4acc-45a5-9a57-de8fd0d2a3cc
cc0dfb10-af92-48f7-a137-cf6548152992,11/13/2023,cancelled,Google Pay,904f0235-7258-47d6-b6a7-4ba055d45727
060f98af-a995-462d-81ab-5657318dec6d,12/15/2023,cancelled,Google Pay,d3f557e3-0a6d-4fac-ae69-f8f1803880fb
990c2071-195e-4185-9591-d309083c792b,12/13/2023,pending,Google Pay,055fdfe0-dc75-4765-a3e8-bba43c30d135
238b91dd-2cfb-4e41-b173-eab3862d8770,3/13/2023,in progress,Apple Pay,625b8ea9-4bfe-4f86-8d55-ddf440980266
33e9746a-51a0-474f-981d-3faca4644e81,2/19/2024,pending,debit card,4b0faa33-1574-41ab-a7ae-f8aa0ec37eab
0a01cab4-59e6-4978-b5d8-3ea650062582,8/23/2023,pending,credit card,bb936a82-9ecf-4890-8ece-155c7cd2c63a
68eeac09-d35b-4c04-8bf9-25fb4b827bb6,5/7/2023,pending,Apple Pay,7ed71db1-3da9-4448-888f-b9e15c120441
a78525dd-7b0e-49d3-b47b-c117736e4d78,1/12/2024,pending,Apple Pay,6317a3a6-ef7b-495b-97b7-30cee11e68a7
b1e76ecf-2ceb-4481-a21a-cfb162e4253d,12/8/2023,cancelled,credit card,0716171c-fe6f-4045-8eaa-593eada725d7
ca259482-8e1d-4557-9d77-f33795f01966,3/25/2023,completed,credit card,5041986e-9007-40e3-9555-6a3bee54a0f5
a6acd419-c194-431d-b223-466366731938,3/7/2023,completed,Google Pay,3b7e0324-5f7b-4cef-b036-db6b8088f847
a7346343-4f5e-4d55-b498-4d96181a3757,9/21/2023,failed,debit card,addda7a8-7ccd-4b9e-8e89-6a3de16f16ff
ba04fed3-9b15-4b26-ae1e-689b5fc82dba,7/10/2023,cancelled,Venmo,d1902bce-771f-4c29-86fb-f43560a26b08
b3eabc63-54d7-4bf1-872c-7d5ad7f9cc05,11/22/2023,completed,debit card,7124e51d-049a-4120-99cd-258965f9bc5c
8365026a-8005-4717-aa6f-123506adc0b2,9/20/2023,cancelled,credit card,55d9d77c-3032-4f67-a5c8-74307e84164e
19250120-3fa0-42db-8ef4-5675733f5dd3,2/12/2024,in progress,Google Pay,e742c35e-972f-4aee-b434-54161a311721
8435d373-8ef0-405d-8e4b-c710c4fe05c7,1/9/2024,cancelled,credit card,4c28d405-8514-4639-8ffb-672657cab3bf
b9b75455-048b-4277-b7bc-72adf67dd67b,1/27/2024,completed,Google Pay,e9424f3e-32a7-4874-8625-c95b95326f99
a56a2a51-ee45-4f9f-980e-414b9f1d4be8,6/10/2023,cancelled,Google Pay,1f95bfd1-c9e2-4699-b1f9-3a860ca1f607
315f98d1-08f8-4e81-abb6-1023ad338a89,8/24/2023,failed,Apple Pay,8b63a950-989b-44b0-801d-e6d67bd2636d
0c963502-4646-4b73-bde4-c25579a542fb,12/30/2023,cancelled,debit card,6d976207-4d84-42a8-b62a-62971e7bee85
2fa06825-af0f-41fe-88e3-af4d6e5bfafe,8/24/2023,in progress,debit card,175076d9-9fa8-4ccc-a5de-1f9b733ef97c
1a0aeccc-15ed-48ce-98e5-a412dae3843a,1/20/2024,in progress,debit card,c93a2241-ed13-451f-a779-37595ebf5943
24e26ab9-3535-4ffe-b0af-6d14c3d7c5bd,6/18/2023,pending,credit card,f58db3fb-6f38-4056-b261-6d1b5f69742e
35628e1b-6838-4956-a682-1ac4829f2dd1,2/17/2024,completed,Venmo,82a785ae-76c6-4dd6-838f-3acf53ed1473
0fa1410d-a987-4cd5-930f-c8f30ece8fe9,7/25/2023,in progress,Venmo,745fb573-a775-45e5-ac03-ace44b906e18
072008c3-65a1-474f-bd2c-bf6fd68e0e6a,1/6/2024,failed,Google Pay,5a9cf955-c339-46db-9a97-fd10573afd26
fcce4580-6ba7-4121-8fcd-abbe19aecbfa,6/30/2023,in progress,Venmo,994e4d02-30f0-4e0b-8799-1f328c39a969
c1a0be41-52d0-4113-bd09-1dddacfe4a5d,2/16/2024,completed,Venmo,89dac2fc-2f52-42a9-bba2-14cbf448e8e7
5f807317-c50c-4d29-bfcb-967affc86ae4,8/21/2023,pending,Apple Pay,226f414e-61e4-4df0-9c12-4af17facf6b0
6e9e4d82-57da-41f6-8d76-efb791748aa1,7/16/2023,completed,credit card,2e406a70-eaea-4099-a8a5-d89578cab78b
aba81b9f-924b-4918-8708-9492dbec63a3,5/22/2023,in progress,credit card,e1515de9-3d38-4779-90a7-94cd3a89a891
afea98af-7a88-48a2-8694-1063d4c29db6,2/7/2024,completed,Apple Pay,288ed371-8f1e-4fc6-a2e3-2991b9cac107
5b6797ea-6147-484a-9367-402f2cb69a2e,9/19/2023,failed,PayPal,2d908379-37e8-40dd-839a-2724dff02ba7
